emp_no,first_name,last_name,gender,hire_date,dept_name,title,salary,tenure_years,tenure_segment
10550,Manton,Leuchs,M,1985-02-03,"Quality Management","Senior Engineer",70405,17.49,"Veteran (15+ yrs)"
11019,Leon,Huttel,M,1985-02-04,Development,"Senior Engineer",84841,17.49,"Veteran (15+ yrs)"
12062,Margareta,Worfolk,M,1985-02-03,"Human Resources","Senior Staff",50908,17.49,"Veteran (15+ yrs)"
13029,Selwyn,Demke,F,1985-02-02,Development,"Assistant Engineer",61180,17.49,"Veteran (15+ yrs)"
15001,Brewster,Kawashimo,M,1985-02-02,Production,"Senior Engineer",71591,17.49,"Veteran (15+ yrs)"
15322,Munehiko,Sidou,M,1985-02-04,Development,"Senior Engineer",76220,17.49,"Veteran (15+ yrs)"
16305,Herb,Penttonen,M,1985-02-04,Development,"Senior Engineer",70160,17.49,"Veteran (15+ yrs)"
17037,Golgen,Diderrich,F,1985-02-03,Finance,"Senior Staff",124930,17.49,"Veteran (15+ yrs)"
17389,Taiji,Kemmerer,F,1985-02-02,Development,"Senior Engineer",75102,17.49,"Veteran (15+ yrs)"
17434,Rajmohan,Schaar,F,1985-02-04,"Quality Management","Senior Engineer",90526,17.49,"Veteran (15+ yrs)"
11322,Nathalie,Pocchiola,F,1985-02-08,"Quality Management","Senior Engineer",61525,17.48,"Veteran (15+ yrs)"
11775,Sajjad,Xiaoshan,F,1985-02-06,Development,"Senior Engineer",68946,17.48,"Veteran (15+ yrs)"
15281,Thanasis,Smeets,M,1985-02-07,Development,"Senior Engineer",71720,17.48,"Veteran (15+ yrs)"
16887,Bernardo,Sinitsyn,M,1985-02-06,Development,"Senior Engineer",129036,17.48,"Veteran (15+ yrs)"
11362,Tooru,Hockney,M,1985-02-10,Production,"Senior Engineer",105850,17.47,"Veteran (15+ yrs)"
11739,Venkatesan,Serot,F,1985-02-10,"Quality Management","Senior Engineer",59938,17.47,"Veteran (15+ yrs)"
12447,Bernice,Huxford,M,1985-02-10,Development,"Senior Engineer",66978,17.47,"Veteran (15+ yrs)"
17905,Wuxu,Vilarrasa,M,1985-02-11,Development,"Senior Engineer",84229,17.47,"Veteran (15+ yrs)"
14207,Franziska,Schaaf,F,1985-02-14,"Customer Service","Senior Staff",51417,17.46,"Veteran (15+ yrs)"
14462,Marl,Pietrzykowski,F,1985-02-14,Finance,"Senior Staff",97421,17.46,"Veteran (15+ yrs)"
14996,Jianhao,Schahn,F,1985-02-12,Development,"Senior Engineer",78829,17.46,"Veteran (15+ yrs)"
15091,Troy,DuCasse,F,1985-02-12,Marketing,Staff,56245,17.46,"Veteran (15+ yrs)"
16448,Tsvetan,Zwicker,M,1985-02-15,Development,"Senior Engineer",94921,17.46,"Veteran (15+ yrs)"
17131,Yunming,Gerlach,M,1985-02-12,Marketing,"Senior Staff",104810,17.46,"Veteran (15+ yrs)"
17421,Adel,Birjandi,M,1985-02-12,Sales,"Senior Staff",102016,17.46,"Veteran (15+ yrs)"
17632,Diederik,Androutsos,F,1985-02-13,Sales,"Senior Staff",108694,17.46,"Veteran (15+ yrs)"
18103,Herbert,Fendler,M,1985-02-14,Research,"Senior Staff",66424,17.46,"Veteran (15+ yrs)"
10009,Sumant,Peac,F,1985-02-18,"Quality Management","Senior Engineer",94409,17.45,"Veteran (15+ yrs)"
10137,Maren,Hutton,M,1985-02-18,"Customer Service","Senior Staff",67794,17.45,"Veteran (15+ yrs)"
11202,Marek,Ranon,F,1985-02-17,"Human Resources","Senior Staff",55847,17.45,"Veteran (15+ yrs)"
12218,Yaghout,Strooper,M,1985-02-18,"Quality Management","Senior Engineer",60353,17.45,"Veteran (15+ yrs)"
13884,Kensei,Swift,M,1985-02-18,Production,Engineer,53144,17.45,"Veteran (15+ yrs)"
14508,Shahid,Babu,M,1985-02-18,Sales,"Senior Staff",136392,17.45,"Veteran (15+ yrs)"
14554,Quingbo,Bharadwaj,F,1985-02-19,Marketing,"Senior Staff",88575,17.45,"Veteran (15+ yrs)"
15236,Haldun,Perng,F,1985-02-18,Development,"Senior Engineer",50233,17.45,"Veteran (15+ yrs)"
15354,Chikara,Nyrup,M,1985-02-18,"Customer Service",Staff,51683,17.45,"Veteran (15+ yrs)"
17424,Geoff,Riesenhuber,F,1985-02-19,Development,"Senior Engineer",75925,17.45,"Veteran (15+ yrs)"
10535,Shalesh,Stroustrup,F,1985-02-21,"Customer Service","Senior Staff",71671,17.44,"Veteran (15+ yrs)"
13628,Dipankar,Pfau,F,1985-02-22,Development,"Senior Engineer",66137,17.44,"Veteran (15+ yrs)"
14899,Alejandro,Casley,M,1985-02-22,Sales,"Senior Staff",89313,17.44,"Veteran (15+ yrs)"
10571,Fun,Varman,M,1985-02-24,Development,"Senior Engineer",77495,17.43,"Veteran (15+ yrs)"
11048,Jaques,Demke,M,1985-02-26,Sales,"Senior Staff",71176,17.43,"Veteran (15+ yrs)"
11678,Zhaofang,Bernick,M,1985-02-24,"Quality Management","Senior Engineer",94144,17.43,"Veteran (15+ yrs)"
12307,Sarita,Schlumberger,F,1985-02-23,Development,"Senior Engineer",62745,17.43,"Veteran (15+ yrs)"
12679,Kolar,Sommen,M,1985-02-26,Development,"Senior Engineer",76965,17.43,"Veteran (15+ yrs)"
13826,Zhigen,Greenaway,M,1985-02-26,Marketing,"Senior Staff",108154,17.43,"Veteran (15+ yrs)"
14915,Huican,Picco,M,1985-02-26,Production,Engineer,54569,17.43,"Veteran (15+ yrs)"
14934,Shaleah,Ecklund,M,1985-02-26,"Human Resources","Senior Staff",68483,17.43,"Veteran (15+ yrs)"
17519,Amabile,Gils,F,1985-02-25,Development,"Senior Engineer",61624,17.43,"Veteran (15+ yrs)"
18079,Takahito,Ecklund,M,1985-02-23,Marketing,"Senior Staff",110240,17.43,"Veteran (15+ yrs)"
11572,Vidya,Quittner,M,1985-02-28,"Customer Service","Senior Engineer",69492,17.42,"Veteran (15+ yrs)"
12280,Lidong,Eiter,M,1985-02-27,Development,"Senior Engineer",84279,17.42,"Veteran (15+ yrs)"
12815,Sushant,Junot,M,1985-02-27,Research,"Senior Staff",99521,17.42,"Veteran (15+ yrs)"
15018,Ramalingam,Prenel,F,1985-02-28,Marketing,"Senior Staff",54622,17.42,"Veteran (15+ yrs)"
15375,Shuho,Manders,F,1985-03-01,Finance,"Senior Staff",75894,17.42,"Veteran (15+ yrs)"
15430,Aamod,Egerstedt,M,1985-03-01,Development,Engineer,61169,17.42,"Veteran (15+ yrs)"
15975,Barun,Schueller,F,1985-02-28,Production,"Senior Engineer",96694,17.42,"Veteran (15+ yrs)"
17332,Valery,Grospietsch,M,1985-03-02,Sales,"Senior Staff",68944,17.42,"Veteran (15+ yrs)"
11655,Gift,Broomell,M,1985-03-05,Development,"Senior Engineer",62974,17.41,"Veteran (15+ yrs)"
12773,Jenwei,Lovengreen,M,1985-03-05,Development,"Senior Engineer",95260,17.41,"Veteran (15+ yrs)"
15096,Sastry,Ulupinar,F,1985-03-05,"Human Resources","Senior Staff",78272,17.41,"Veteran (15+ yrs)"
15427,Aluzio,Aamodt,M,1985-03-03,Development,Engineer,53272,17.41,"Veteran (15+ yrs)"
