emp_no,first_name,last_name,gender,hire_date,salary,salary_from
11486,Itzchak,Ramaiah,M,1985-05-31,145732,2002-05-27
18006,Vidya,Hanabata,F,1987-09-03,144866,2001-08-30
14487,Jungsoon,Molenkamp,F,1987-02-09,144534,2002-02-05
13386,Khosrow,Sgarro,F,1986-02-23,144434,2002-02-19
12149,Suebskul,Grandbois,M,1988-10-01,141114,2001-09-28
17238,Achilleas,Schach,M,1985-07-07,138233,2002-07-03
15039,Krister,Huttel,F,1987-04-19,137659,2002-04-15
12199,Huan,Poupard,F,1985-06-22,137240,2002-06-18
18174,Uta,Bale,F,1988-02-20,136507,2002-07-04
14508,Shahid,Babu,M,1985-02-18,136392,2002-02-14
10897,Arno,Kumaresan,F,1986-04-09,136004,2002-04-04
11857,Divier,Farrag,F,1986-08-27,133910,2001-08-23
16908,Eben,Iisaku,M,1986-05-22,133658,2002-05-18
13555,Lijia,Matteis,F,1988-11-07,131784,2001-11-04
14523,Leif,Busillo,M,1994-07-21,131604,2002-07-19
16681,Gurbir,Mitina,F,1985-12-08,131554,2001-12-04
12681,Rosalyn,Akaboshi,M,1987-11-27,130953,2001-12-16
15371,Shih,Kuszyk,F,1988-11-05,130450,2001-11-02
14544,Licheng,Janetzko,F,1990-04-04,130345,2002-03-31
16435,Renee,Wissmann,M,1992-05-26,129142,2002-05-24
16887,Bernardo,Sinitsyn,M,1985-02-06,129036,2002-02-02
12438,Yongmao,Mondadori,M,1990-12-19,128659,2001-12-17
18164,Goetz,Curless,M,1993-04-14,128187,2002-01-16
14618,Cedric,Brlek,F,1987-02-04,127971,2001-12-23
14783,Gennadi,Fasbender,F,1987-06-30,127563,2001-08-22
14969,Hongzue,Himler,F,1986-01-03,127554,2001-12-30
13186,Kyoichi,Barbanera,M,1986-04-29,126688,2002-04-25
10539,Yucel,Reinhard,M,1990-06-05,126614,2002-06-02
12411,Shao,Ibel,M,1986-08-17,126461,2001-08-13
17063,Anoosh,Thiran,M,1985-12-12,126391,2001-12-08
11537,DAIDA,Pehl,M,1986-07-06,126237,2002-07-02
11149,Domenico,Imataki,M,1987-08-26,126202,2001-08-22
16844,Geoffry,Kitai,M,1995-03-04,126045,2002-03-02
10548,Ramalingam,Gunderson,M,1986-05-04,126034,2002-06-30
13056,Arvind,Zirintsis,F,1985-05-16,125872,2002-05-12
10955,Urs,Danley,F,1986-09-27,125713,2001-09-23
11402,Freyja,Brizzi,M,1985-03-10,125163,2002-03-06
17037,Golgen,Diderrich,F,1985-02-03,124930,2002-01-30
16446,Jouko,Chinin,M,1987-07-06,124812,2002-07-02
13043,Keiichiro,Kobuchi,M,1993-02-08,124811,2002-02-06
16205,Kerhong,Radivojevic,M,1986-03-27,124679,2001-10-09
15271,Shiv,Bernardeschi,F,1986-12-05,124374,2001-12-01
15925,Owen,Rosaz,M,1990-06-24,123757,2002-06-21
12523,Tonia,Casley,M,1989-03-03,123684,2002-01-19
15598,Kristinn,Kemmerer,M,1986-10-07,123598,2001-10-03
12541,Shih,Nanard,M,1988-08-31,123494,2001-08-28
16117,Josyula,Felcyn,M,1989-04-25,123408,2002-06-19
16107,Feiyu,Luit,M,1985-03-30,123357,2002-03-26
15784,Gen,Bernatsky,M,1987-10-31,123145,2001-10-27
14894,Achilleas,Picaronny,F,1990-05-06,123055,2002-02-15
15391,Cedric,Bonifati,M,1986-02-08,122943,2002-02-04
11797,Chenxi,Thambidurai,M,1988-08-30,122775,2001-08-27
16307,Marlo,Setia,F,1990-07-20,122759,2002-07-17
10532,Mary,Wossner,F,1986-05-18,122653,2002-05-14
13403,Toney,Diderrich,M,1987-12-27,122549,2001-10-28
12099,Nobuyoshi,Kuzuoka,M,1987-08-23,122487,2002-02-13
11785,Hongzhu,Kalsbeek,M,1987-02-19,122415,2002-07-01
16822,Shen,Spell,M,1988-07-19,122243,2002-07-16
15558,Aron,Pehl,F,1985-12-20,122140,2001-12-16
11908,Candida,Iisaku,F,1985-10-16,122132,2001-10-12
17367,Tooru,Parfitt,M,1992-01-23,121885,2002-01-20
12703,Luigi,Brookner,F,1985-11-22,121796,2001-11-18
11942,Uri,Scharstein,F,1985-04-06,121724,2002-04-02
14461,Weicheng,Hitomi,F,1986-04-20,121213,2002-04-16
15292,Miyeon,Lammel,M,1986-07-31,121143,2002-07-27
15176,Charlene,Sankaranarayanan,M,1987-11-17,120900,2001-11-13
15043,Christoph,Ventosa,M,1994-03-17,120623,2002-03-15
13212,Thodoros,Boyle,F,1990-04-19,120213,2002-02-02
15071,Ayonca,Couchot,F,1988-10-15,120204,2001-10-12
16389,Kwangjo,Sadowsky,M,1985-05-11,120201,2002-05-07
10521,Kwangsub,Setia,M,1989-05-11,120116,2002-05-08
16025,Doowon,Luce,F,1985-08-17,120033,2002-03-02
11482,Uri,Deverell,F,1991-04-03,119958,2002-03-31
12931,Spyrose,Hutton,M,1991-03-21,119704,2002-03-18
12643,Morrie,Schurmann,F,1998-07-23,119609,2001-12-30
12803,Gad,Boissier,M,1985-03-16,119573,2002-03-12
12306,Suvo,Menyhert,F,1986-05-18,119562,2002-05-14
13544,Beshir,Sullins,M,1992-04-24,119554,2002-04-22
12546,Luisa,Shobatake,M,1988-06-05,119188,2002-06-02
12251,Iara,Hiraishi,M,1985-07-20,119048,2002-07-16
13154,Shan,Soicher,M,1988-07-29,119028,2002-07-26
17069,Ramalingam,Stentiford,M,1987-02-25,118891,2002-02-21
12675,Dekang,Krohm,M,1987-11-20,118841,2001-11-16
15805,Gretta,Montresor,M,1990-05-20,118810,2002-05-17
16333,Kazunori,Flanders,F,1995-10-19,118639,2001-10-17
