emp_no,first_name,last_name,gender,hire_date,title,title_from
10939,Matk,Akazan,M,1990-11-01,"Assistant Engineer",1997-12-11
36199,Faiza,Alameldin,F,1989-12-30,"Assistant Engineer",1998-03-28
29647,Chinhyun,Aloia,F,1992-02-22,"Assistant Engineer",1999-10-01
42714,Zhigen,Alpay,M,1995-11-14,"Assistant Engineer",1995-11-14
41797,Shooichi,Angelopoulos,M,1985-02-21,"Assistant Engineer",1998-12-08
13274,Valery,Anguita,M,1986-10-01,"Assistant Engineer",1998-04-24
11940,Ult,Anido,F,1996-11-02,"Assistant Engineer",1996-11-02
42726,Munehiko,Anido,F,1996-11-26,"Assistant Engineer",1996-11-26
26686,Sastry,Anily,M,1997-04-10,"Assistant Engineer",1999-11-21
18738,Krister,Ashish,F,1989-01-24,"Assistant Engineer",1997-06-28
19952,Conrado,Atrawala,M,1987-08-30,"Assistant Engineer",1996-03-25
27700,Billie,Auria,F,1990-06-17,"Assistant Engineer",1995-04-08
31152,Valeri,Avouris,F,1989-09-07,"Assistant Engineer",1994-05-20
35396,Masoud,Azevdeo,F,1999-04-04,"Assistant Engineer",1999-04-04
24320,Quingbo,Azulay,M,1998-02-01,"Assistant Engineer",1998-02-01
41525,Torsten,Baalen,M,1997-05-13,"Assistant Engineer",1997-11-15
22110,Fumitaka,Babb,M,1997-12-20,"Assistant Engineer",1998-05-19
13247,Sreekrishna,Baby,M,1989-06-30,"Assistant Engineer",2000-01-21
38141,Marek,Baby,F,1991-03-02,"Assistant Engineer",1994-12-22
28020,Katsuyuki,Bach,F,1989-08-14,"Assistant Engineer",1995-02-14
21312,Mani,Bahi,M,1986-08-05,"Assistant Engineer",1997-07-18
10647,Tesuro,Bahk,M,1995-09-28,"Assistant Engineer",1997-09-03
31530,Perla,Bahr,M,1992-03-29,"Assistant Engineer",1999-10-02
31201,Brigham,Bain,F,1993-05-21,"Assistant Engineer",1999-08-04
18580,Mabo,Bamford,M,1985-12-08,"Assistant Engineer",1997-09-18
28300,Fox,Bardell,M,1993-11-08,"Assistant Engineer",1999-12-07
18339,Anneli,Barvinok,M,1994-07-21,"Assistant Engineer",1996-07-24
36469,Miyeon,Basagni,F,1996-06-10,"Assistant Engineer",1996-09-04
16816,Mabo,Basawa,M,1998-06-20,"Assistant Engineer",1998-06-20
42092,Fayez,Basawa,M,1987-09-08,"Assistant Engineer",1998-03-04
13585,Sugwoo,Bashian,M,1997-06-08,"Assistant Engineer",1997-06-08
41178,Kasidit,Beausoleil,M,1988-07-28,"Assistant Engineer",1996-09-25
35366,Nechama,Bednarek,M,1989-11-06,"Assistant Engineer",1998-12-23
17665,Zejun,Beeson,M,1994-01-22,"Assistant Engineer",1997-05-04
20422,Zeydy,Beetstra,F,1996-11-02,"Assistant Engineer",1998-06-04
21475,Pintsang,Beetstra,M,1989-12-15,"Assistant Engineer",1994-09-04
32506,Karlis,Benaini,M,1989-07-01,"Assistant Engineer",1999-11-30
40623,Tuval,Bennis,F,1992-03-22,"Assistant Engineer",1999-04-13
26981,Tristan,Benzaken,M,1990-03-21,"Assistant Engineer",1999-08-18
35590,Kankanahalli,Bergere,M,1998-04-04,"Assistant Engineer",1998-04-04
40258,Basim,Berstel,F,1996-07-14,"Assistant Engineer",1999-03-23
30314,Quingbo,Beutelspacher,F,1996-04-28,"Assistant Engineer",1996-06-16
17040,Kazuhisa,Bhattacharjee,M,1989-08-10,"Assistant Engineer",1998-03-01
25391,Hatsukazu,Billawala,M,1985-07-22,"Assistant Engineer",1998-11-15
24100,Frazer,Billingsley,M,1985-02-17,"Assistant Engineer",2000-01-09
14696,Shuky,Binkley,M,1997-02-28,"Assistant Engineer",1997-05-01
17418,Hsiangchu,Biros,M,1986-08-02,"Assistant Engineer",1997-08-13
18717,Mohammed,Blokdijk,F,1989-04-21,"Assistant Engineer",1999-08-17
42942,Mansur,Bolotov,F,1985-02-03,"Assistant Engineer",1998-08-02
31223,Uma,Bonifati,M,1996-06-04,"Assistant Engineer",1996-10-08
24866,Duangkaew,Botman,M,1994-09-28,"Assistant Engineer",1994-09-28
10784,Weijing,Bottner,F,1987-05-12,"Assistant Engineer",1998-10-14
15517,Karsten,Bottner,F,1997-03-21,"Assistant Engineer",1997-03-21
19368,Isaac,Bresenham,M,1993-08-17,"Assistant Engineer",1995-10-02
36504,Fen,Brickell,F,1985-09-24,"Assistant Engineer",1999-06-06
33219,Shem,Brodal,F,1992-11-10,"Assistant Engineer",1998-12-27
11497,Bodh,Brodie,F,1992-04-30,"Assistant Engineer",1999-12-09
40489,Yongmao,Bugrara,F,1987-12-24,"Assistant Engineer",1996-10-02
42732,Anyuan,Busillo,M,1996-07-21,"Assistant Engineer",1996-07-21
42216,Yahiko,Businaro,F,1993-03-13,"Assistant Engineer",1997-09-26
14039,Ugo,Butterworth,M,1997-05-29,"Assistant Engineer",1999-11-09
25896,Heeju,Caine,F,1992-01-16,"Assistant Engineer",1998-07-10
36978,Francoise,Caine,F,1992-09-14,"Assistant Engineer",1998-04-24
15966,Adit,Carrera,M,1989-10-09,"Assistant Engineer",1997-12-21
11379,Guiseppe,Chenoweth,M,1994-06-24,"Assistant Engineer",1994-06-24
39617,Ziva,Christ,M,1996-08-21,"Assistant Engineer",1998-05-04
41264,Karlis,Christ,F,1996-09-24,"Assistant Engineer",1996-09-24
43264,Feiyu,Ciolek,M,1994-10-05,"Assistant Engineer",1997-12-16
12900,Siamak,Conte,M,1992-10-31,"Assistant Engineer",1999-05-11
22216,Thodoros,Cooley,M,1987-06-14,"Assistant Engineer",1998-10-04
33484,Ebbe,Copas,M,1987-05-03,"Assistant Engineer",1997-08-20
31290,Masoud,Coullard,M,1988-04-20,"Assistant Engineer",1997-07-27
20020,Akeel,Covnot,F,1996-03-02,"Assistant Engineer",1996-03-02
16165,Shuzo,Cronau,F,1994-09-17,"Assistant Engineer",1998-07-31
36228,JiYoung,Cronin,M,1996-02-24,"Assistant Engineer",1998-03-13
35204,Vasiliy,Crouzet,M,1998-01-20,"Assistant Engineer",1998-01-20
16232,Susumu,Cullers,M,1996-04-01,"Assistant Engineer",1996-04-01
31136,Aloys,Cullers,M,1985-06-15,"Assistant Engineer",1995-10-17
12364,Neelam,Cummings,F,1998-06-02,"Assistant Engineer",1998-11-02
28472,Gilbert,Cyne,F,1994-06-27,"Assistant Engineer",1994-06-27
40353,Shigeichiro,Cyre,M,1991-02-08,"Assistant Engineer",1996-02-18
30913,Sham,Dalphin,M,1990-05-15,"Assistant Engineer",1999-05-01
21218,Gao,Danner,M,1994-06-08,"Assistant Engineer",1999-08-03
31756,Houman,Dayana,F,1987-04-16,"Assistant Engineer",1998-07-07
25295,Gino,Delaune,M,1991-09-05,"Assistant Engineer",1998-05-07
13132,Jianhua,Delgrande,F,1994-01-18,"Assistant Engineer",1994-01-18
16180,Gio,Demir,M,1991-08-20,"Assistant Engineer",1998-10-02
13029,Selwyn,Demke,F,1985-02-02,"Assistant Engineer",1998-08-05
11243,Udi,Desikan,F,1994-12-08,"Assistant Engineer",2000-01-20
