emp_no,first_name,last_name,gender,title,from_date,to_date,years_in_title,title_sequence
10001,Georgi,Facello,M,"Senior Engineer",1986-06-26,9999-01-01,16.1,1
10002,Bezalel,Simmel,F,Staff,1996-08-03,9999-01-01,5.99,1
10003,Parto,Bamford,M,"Senior Engineer",1995-12-03,9999-01-01,6.66,1
10004,Chirstian,Koblick,M,Engineer,1986-12-01,1995-12-01,9.0,1
10004,Chirstian,Koblick,M,"Senior Engineer",1995-12-01,9999-01-01,6.67,2
10005,Kyoichi,Maliniak,M,Staff,1989-09-12,1996-09-12,7.0,1
10005,Kyoichi,Maliniak,M,"Senior Staff",1996-09-12,9999-01-01,5.88,2
10006,Anneke,Preusig,F,"Senior Engineer",1990-08-05,9999-01-01,11.99,1
10007,Tzvetan,Zielinski,F,Staff,1989-02-10,1996-02-11,7.0,1
10007,Tzvetan,Zielinski,F,"Senior Staff",1996-02-11,9999-01-01,6.47,2
10008,Saniya,Kalloufi,M,"Assistant Engineer",1998-03-11,2000-07-31,2.39,1
10009,Sumant,Peac,F,"Assistant Engineer",1985-02-18,1990-02-18,5.0,1
10009,Sumant,Peac,F,Engineer,1990-02-18,1995-02-18,5.0,2
10009,Sumant,Peac,F,"Senior Engineer",1995-02-18,9999-01-01,7.45,3
10010,Duangkaew,Piveteau,F,Engineer,1996-11-24,9999-01-01,5.68,1
10011,Mary,Sluis,F,Staff,1990-01-22,1996-11-09,6.8,1
10012,Patricio,Bridgland,M,Engineer,1992-12-18,2000-12-18,8.0,1
10012,Patricio,Bridgland,M,"Senior Engineer",2000-12-18,9999-01-01,1.62,2
10013,Eberhardt,Terkki,M,"Senior Staff",1985-10-20,9999-01-01,16.78,1
10014,Berni,Genin,M,Engineer,1993-12-29,9999-01-01,8.59,1
10015,Guoxiang,Nooteboom,M,"Senior Staff",1992-09-19,1993-08-22,0.92,1
10016,Kazuhito,Cappelletti,M,Staff,1998-02-11,9999-01-01,4.47,1
10017,Cristinel,Bouloucos,F,Staff,1993-08-03,2000-08-03,7.0,1
10017,Cristinel,Bouloucos,F,"Senior Staff",2000-08-03,9999-01-01,1.99,2
10018,Kazuhide,Peha,F,Engineer,1987-04-03,1995-04-03,8.0,1
10018,Kazuhide,Peha,F,"Senior Engineer",1995-04-03,9999-01-01,7.33,2
10019,Lillian,Haddadi,M,Staff,1999-04-30,9999-01-01,3.26,1
10020,Mayuko,Warwick,M,Engineer,1997-12-30,9999-01-01,4.59,1
10021,Ramzi,Erde,M,"Technique Leader",1988-02-10,2002-07-15,14.43,1
10022,Shahaf,Famili,M,Engineer,1999-09-03,9999-01-01,2.91,1
10023,Bojan,Montemayor,F,Engineer,1999-09-27,9999-01-01,2.84,1
10024,Suzette,Pettey,F,"Assistant Engineer",1998-06-14,9999-01-01,4.13,1
10025,Prasadram,Heyers,M,"Technique Leader",1987-08-17,1997-10-15,10.16,1
10026,Yongqiao,Berztiss,M,Engineer,1995-03-20,2001-03-19,6.0,1
10026,Yongqiao,Berztiss,M,"Senior Engineer",2001-03-19,9999-01-01,1.37,2
10027,Divier,Reistad,F,Engineer,1995-04-02,2001-04-01,6.0,1
10027,Divier,Reistad,F,"Senior Engineer",2001-04-01,9999-01-01,1.33,2
10028,Domenick,Tempesti,M,Engineer,1991-10-22,1998-04-06,6.46,1
10029,Otmar,Herbst,M,Engineer,1991-09-18,2000-09-17,9.0,1
10029,Otmar,Herbst,M,"Senior Engineer",2000-09-17,9999-01-01,1.87,2
10030,Elvis,Demeyer,M,Engineer,1994-02-17,2001-02-17,7.0,1
10030,Elvis,Demeyer,M,"Senior Engineer",2001-02-17,9999-01-01,1.45,2
10031,Karsten,Joslin,M,Engineer,1991-09-01,1998-09-01,7.0,1
10031,Karsten,Joslin,M,"Senior Engineer",1998-09-01,9999-01-01,3.92,2
10032,Jeong,Reistad,F,Engineer,1990-06-20,1995-06-20,5.0,1
10032,Jeong,Reistad,F,"Senior Engineer",1995-06-20,9999-01-01,7.12,2
10033,Arif,Merlo,M,"Technique Leader",1987-03-18,1993-03-24,6.02,1
10034,Bader,Swan,M,Staff,1995-04-12,1999-10-31,4.55,1
10035,Alain,Chappelet,M,Engineer,1988-09-05,1996-09-05,8.0,1
10035,Alain,Chappelet,M,"Senior Engineer",1996-09-05,9999-01-01,5.9,2
10036,Adamantios,Portugali,M,"Senior Staff",1992-04-28,9999-01-01,10.26,1
10037,Pradeep,Makrucki,M,Engineer,1990-12-05,1995-12-05,5.0,1
10037,Pradeep,Makrucki,M,"Senior Engineer",1995-12-05,9999-01-01,6.66,2
10038,Huan,Lortz,M,Staff,1989-09-20,1996-09-20,7.0,1
10038,Huan,Lortz,M,"Senior Staff",1996-09-20,9999-01-01,5.86,2
10039,Alejandro,Brender,M,Staff,1988-01-19,1997-01-18,9.0,1
10039,Alejandro,Brender,M,"Senior Staff",1997-01-18,9999-01-01,5.53,2
10040,Weiyi,Meriste,F,Engineer,1993-02-14,1999-02-14,6.0,1
10040,Weiyi,Meriste,F,"Senior Engineer",1999-02-14,9999-01-01,3.46,2
10041,Uri,Lenart,F,Staff,1989-11-12,1998-11-12,9.0,1
10041,Uri,Lenart,F,"Senior Staff",1998-11-12,9999-01-01,3.72,2
10042,Magy,Stamatiou,F,Staff,1993-03-21,2000-03-21,7.0,1
10042,Magy,Stamatiou,F,"Senior Staff",2000-03-21,2000-08-10,0.39,2
10043,Yishay,Tzvieli,M,Engineer,1990-10-20,1997-10-20,7.0,1
10043,Yishay,Tzvieli,M,"Senior Engineer",1997-10-20,9999-01-01,4.78,2
10044,Mingsen,Casley,F,"Technique Leader",1994-05-21,9999-01-01,8.2,1
10045,Moss,Shanbhogue,M,Engineer,1996-11-16,9999-01-01,5.71,1
10046,Lucien,Rosenbaum,M,Staff,1992-06-20,2000-06-20,8.0,1
10046,Lucien,Rosenbaum,M,"Senior Staff",2000-06-20,9999-01-01,2.11,2
10047,Zvonko,Nyanchama,M,Engineer,1989-03-31,1998-03-31,9.0,1
10047,Zvonko,Nyanchama,M,"Senior Engineer",1998-03-31,9999-01-01,4.34,2
10048,Florian,Syrotiuk,M,Engineer,1985-02-24,1987-01-27,1.92,1
10049,Basil,Tramer,F,Staff,1992-05-04,2000-05-04,8.0,1
10049,Basil,Tramer,F,"Senior Staff",2000-05-04,9999-01-01,2.24,2
10050,Yinghua,Dredge,M,Staff,1990-12-25,1999-12-25,9.0,1
10050,Yinghua,Dredge,M,"Senior Staff",1999-12-25,9999-01-01,2.6,2
10051,Hidefumi,Caine,M,Engineer,1992-10-15,1998-10-15,6.0,1
10051,Hidefumi,Caine,M,"Senior Engineer",1998-10-15,9999-01-01,3.79,2
10052,Heping,Nitsch,M,Staff,1997-01-31,2002-01-31,5.0,1
10052,Heping,Nitsch,M,"Senior Staff",2002-01-31,9999-01-01,0.5,2
10053,Sanjiv,Zschoche,F,"Senior Staff",1994-11-13,9999-01-01,7.72,1
10054,Mayumi,Schueller,M,Staff,1995-07-29,2000-07-28,5.0,1
10054,Mayumi,Schueller,M,"Senior Staff",2000-07-28,9999-01-01,2.01,2
